e_;1004010
_t;799105
s_;741609
th;673841
_a;669890
he;648517
in;589626
d_;573024
n_;566671
_th;523296
the;479468
er;476480
he_;472699
an;468966
t_;417471
_o;378528
on;366837
_s;361722
re;359810
_i;356355
r_;339673
ed;305630
_w;301782
_c;295290
at;294929
nd;294909
or;293329
y_;290880
te;287174
en;283578
ar;272170
es;262557
is;261833
ed_;260781
al;253208
_b;252133
it;251781
ti;248893
st;247985
as;246278
_f;237891
_h;237770
to;230666
o_;226860
_p;225745
of;224039
f_;223833
ng;221302
_of;216425
_an;214445
_in;212623
nd_;212241
and;212062
a_;211169
in_;210630
nt;206345
of_;204154
_m;203021
le;187642
er_;184618
se;183790
ri;177898
de;176148
ro;174333
l_;173708
ve;172863
co;172487
ing;168612
_r;168600
hi;168037
me;167014
g_;166876
ra;163000
ea;162915
_to;162306
ha;161620
_d;160877
ng_;158372
as_;155861
h_;155777
ne;154864
on_;153335
io;152910
ou;150200
to_;148711
ic;148249
la;144980
is_;139637
li;138119
ch;137124
_l;135582
ma;134204
ll;134093
s_a;133483
_e;132791
ca;132622
_a_;128704
ion;128606
ce;127539
be;123927
si;122778
el;122763
_co;121656
om;120755
wa;119459
ta;117647
fo;116968
es_;116506
_n;109319
ur;108670
ho;107845
n_t;105841
di;105361
il;103324
ent;102697
un;102271
ns;100439
d_t;100004
_re;99769
ec;99642
rs;98439
na;98415
tio;98148
us;98145
_wa;97716
am;96989
ac;96366
or_;95075
tr;94244
_g;93824
so;93440
for;92580
e_a;92512
pe;92266
m_;91783
ter;91644
an_;91467
e_t;91413
ge;90405
lo;90208
ly;89331
ni;88669
re_;87808
ie;87461
al_;87431
ol;87183
ad;86976
_fo;86887
rt;86664
s_t;86013
et;84341
pr;83741
_be;83025
at_;82911
wi;81475
ct;81434
no;79103
nc;78988
ly_;78837
e_s;78621
ot;77882
ut;77128
ia;76668
was;76377
ir;75998
ow;75932
f_t;75666
mo;75309
_is;75189
sh;75136
th_;74676
ate;74396
_ma;74365
po;74163
em;73678
ss;73150
ee;72975
pa;72928
st_;72842
ati;72600
ai;72250
we;71779
mi;71614
n_a;71479
her;71326
_u;71004
ts;70841
d_a;69407
e_o;68840
_he;68188
his;67462
_wi;67290
_hi;67162
fi;66927
e_c;65570
_st;65498
_on;65320
ver;65276
im;64748
en_;64253
_pr;64030
_ha;63889
ted;63684
vi;63590
s_o;63431
t_t;62392
_se;61857
iv;61149
e_w;61029
os;60961
all;59840
nt_;59731
_as;59504
_ca;59476
ul;59075
id;58696
ci;58130
e_i;58012
wh;57957
ev;57587
it_;57555
ts_;57111
_de;56923
su;56123
ers;55594
ig;55228
_wh;55059
fr;54777
pl;54566
tu;53803
ry;53448
r_t;52408
ere;52345
ba;52271
op;52165
le_;52067
con;51781
bo;51136
ith;51099
e_p;50414
e_f;50075
ag;49827
mp;49634
d_i;49544
_al;49304
rd;49262
ke;49180
ay;48976
gh;48725
ty;48608
wit;48547
wo;48224
fe;48004
ld;48002
s_i;47918
k_;47752
me_;47576
ce_;46875
ga;46732
ch_;46654
res;46646
ov;46488
oo;46447
_fr;46400
_ar;45876
rs_;45687
tha;45606
_v;45508
_mo;45286
e_b;45170
bu;44921
by;44568
rn;44554
ive;44267
com;43851
sta;43747
ons;43451
ap;43441
eve;42999
da;42810
gr;42707
by_;42637
s_w;42514
sa;42487
hat;42447
e_m;42445
s_s;42220
ry_;42197
bl;42117
t_a;42070
_so;42051
ab;41996
est;41583
ll_;41391
ls;41374
ear;41335
d_b;41285
se_;41274
_no;41212
_fi;41189
nce;41004
t_i;40979
_pa;40931
rm;40386
ve_;40153
ame;40129
_j;39882
_k;39770
pro;39761
du;39749
te_;39682
sp;39504
t_o;39420
_at;39398
ns_;39318
rom;38910
oc;38848
_di;38830
ist;38684
w_;38655
are;38651
ne_;38626
_ch;38525
_by;38322
_po;38248
_we;38195
g_t;38125
od;38083
e_h;38074
n_o;37943
sc;37745
_la;37743
om_;37530
av;37446
tt;37391
o_t;37197
ei;37124
cl;37109
do;37047
_su;36977
e_r;36810
_it;36760
int;36736
ck;36685
uc;36664
r_a;36649
man;36633
ine;36346
men;36314
art;35823
c_;35580
y_a;35498
ty_;35473
gi;35353
rea;35328
ex;35289
s_c;35181
s_f;35126
fa;35075
ut_;34975
_un;34961
ep;34774
ove;34715
cr;34710
fro;34564
y_t;34444
der;34387
ain;34333
_wo;34231
br;34129
oun;33944
ica;33829
ect;33545
d_s;33509
tin;33498
pi;33273
ue;33032
d_o;33009
e_d;32950
n_i;32921
per;32797
_sh;32663
_li;32658
tra;32583
au;32423
um;32369
red;32256
ess;32153
_ba;32152
iti;32041
p_;32009
_me;31518
eg;31513
nte;31467
ru;31452
s_b;31346
ste;31174
ua;31170
t_w;31162
rr;30792
ef;30780
str;30744
_ne;30709
if;30667
cu;30383
ide;30231
ld_;30225
va;30087
_le;29973
lu;29938
ug;29935
ill;29870
out;29870
ort;29794
rin;29736
_tr;29707
ft;29635
cal;29567
r_o;29546
one;29543
mb;29451
e_e;29438
nal;29298
ar_;29277
e_l;29237
ew;29220
_or;29089
tor;28937
par;28900
d_w;28891
ge_;28835
rc;28704
_lo;28700
_si;28675
und;28622
n_s;28573
tur;28564
cti;28482
up;28447
ki;28360
lt;28298
ye;28293
_bu;28290
ic_;28012
pp;27999
go;27969
_y;27946
af;27812
ies;27794
nde;27728
eri;27558
s_p;27518
ber;27427
_te;27361
_ho;27347
lan;27331
pu;27141
ity;26845
ff;26750
_fa;26742
rat;26738
era;26698
_bo;26658
pla;26548
rl;26534
_mi;26521
use;26481
ds;26417
ad_;26410
ran;26343
_pe;26300
rk;26254
lat;26214
ore;26180
ant;26142
i_;26138
d_h;26125
d_f;26098
rg;26056
oth;25999
cha;25994
als;25890
nti;25886
eat;25832
bi;25718
tl;25717
ey;25513
thi;25487
s_h;25477
_en;25451
e_n;25449
sed;25432
nn;25382
ome;25216
mu;24926
igh;24883
qu;24755
age;24715
ak;24644
tic;24622
y_o;24509
din;24507
lle;24448
_gr;24417
us_;24291
wer;24270
ud;24257
h_a;24241
n_w;24237
_ex;24213
a_s;24141
_sa;24086
pre;23932
de_;23919
mm;23918
wn;23898
n_c;23889
ht;23840
whi;23835
gu;23809
eas;23729
son;23612
can;23507
act;23393
_pl;23355
lin;23341
_br;23337
h_t;23307
rou;23230
ui;23224
ay_;23216
ast;23151
lly;23063
so_;23039
t_s;22941
ned;22891
ite;22887
wor;22882
sti;22872
ich;22869
own;22868
inc;22710
rie;22580
not;22536
ip;22531
ght;22518
ard;22390
d_c;22304
ish;22291
_ro;22196
ian;22137
ral;22117
end;22108
tat;22094
een;21998
_na;21920
s_m;21858
uni;21777
r_s;21697
o_a;21652
min;21634
t_h;21579
n_b;21572
ell;21551
ont;21521
ona;21498
ub;21494
dr;21416
rec;21394
hic;21392
_sp;21374
ric;21277
s_r;21258
our;21252
ny;21204
g_a;21096
ele;21077
e_g;21051
ure;21051
anc;20999
ins;20997
s_d;20989
be_;20966
ren;20931
l_a;20891
fte;20855
ave;20851
_ac;20801
_ra;20787
n_h;20777
enc;20762
ree;20727
has;20700
ord;20677
_sc;20666
rt_;20629
ugh;20629
ten;20585
nat;20561
tho;20456
ser;20428
ime;20389
nu;20374
og;20349
ern;20278
e_u;20239
ssi;20214
han;20200
ded;20150
ss_;20074
_us;20058
sin;20024
ph;19886
ces;19879
mer;19864
ous;19827
ds_;19737
cou;19727
r_i;19719
lea;19708
ong;19702
f_a;19604
pt;19593
owe;19556
ot_;19540
lso;19539
ass;19505
oi;19466
she;19445
n_f;19374
t_c;19372
les;19371
ial;19311
hou;19247
ina;19243
ey_;19238
mar;19165
tw;19157
but;19135
hr;19120
orm;19067
tri;19065
ble;19024
rd_;19014
aft;18996
sio;18896
hen;18893
jo;18880
den;18852
y_i;18799
ven;18794
eco;18745
cc;18737
_do;18656
rit;18628
led;18558
ms;18444
ali;18378
a_c;18343
_ti;18313
its;18307
lit;18300
lar;18292
des;18283
ind;18240
et_;18170
tim;18131
unt;18126
ost;18061
y_s;18045
sto;17993
d_p;17967
oug;17890
ew_;17871
ire;17837
n_p;17835
m_t;17822
por;17807
s_n;17772
omp;17747
mbe;17735
hu;17706
_go;17596
_da;17561
s_l;17513
ari;17484
wn_;17481
n_m;17478
war;17475
chi;17425
_cl;17415
har;17394
ade;17312
ice;17311
fu;17263
ir_;17256
ob;17245
mon;17235
oa;17148
ase;17145
how;17141
_cr;17074
dis;17063
d_m;17041
ang;17006
ib;16981
n_e;16974
tes;16960
cat;16855
che;16851
gra;16846
fir;16839
ple;16788
hin;16715
ny_;16698
nts;16695
lis;16688
sit;16657
cor;16653
r_c;16643
ust;16637
ary;16636
whe;16613
_ge;16586
rv;16585
oll;16583
ese;16578
ys;16567
gh_;16548
r_w;16527
o_s;16481
tan;16470
ack;16388
_mu;16387
s_e;16349
tiv;16303
med;16301
nes;16291
_fe;16286
_vi;16244
ntr;16208
eo;16170
uri;16148
ck_;16146
nin;16061
t_b;16054
kin;16046
any;15993
ach;15935
y_c;15928
att;15921
ori;15919
nst;15916
had;15907
pri;15902
o_b;15901
ner;15885
ene;15820
_ta;15804
a_p;15790
t_f;15788
ope;15760
ow_;15704
ok;15630
cen;15629
low;15614
r_h;15605
ved;15580
app;15554
ini;15524
aw;15511
ead;15506
ls_;15496
y_w;15466
_ea;15445
tte;15406
rst;15392
ose;15361
vo;15321
ans;15321
gn;15283
fl;15237
_ap;15215
new;15186
shi;15153
_ga;15146
tar;15143
ace;15089
mat;15041
tal;15007
car;14929
ork;14899
ath;14884
rac;14862
ani;14858
sho;14848
nge;14845
omm;14752
abl;14743
irs;14679
l_t;14673
rn_;14663
_ag;14659
tro;14587
_ad;14556
bec;14522
ris;14483
gl;14455
yo;14411
gen;14370
spe;14334
nit;14284
mor;14279
_ye;14238
ars;14227
t_p;14213
ia_;14200
hav;14088
emb;14083
ee_;14065
r_f;14059
rel;14014
el_;14012
cia;14010
lay;13959
sen;13856
ke_;13848
gre;13845
mil;13845
ja;13829
sid;13825
d_r;13822
a_m;13818
ula;13800
_ab;13797
sl;13796
_ce;13780
d_d;13755
ks;13750
nta;13746
_pu;13672
rth;13666
hei;13648
eme;13638
who;13604
ndi;13589
ju;13580
pos;13573
n_r;13503
ct_;13436
yea;13429
sh_;13407
a_t;13396
col;13344
lon;13335
ger;13308
ht_;13269
cre;13253
l_s;13250
thr;13244
o_c;13218
erv;13139
y_b;13139
win;13133
oul;13119
r_m;13093
_du;13085
r_p;13064
ake;13023
arr;13015
lic;12997
rti;12986
r_b;12976
ita;12931
_ri;12793
arl;12783
cam;12782
fic;12761
ara;12752
duc;12750
ton;12712
l_c;12709
tre;12706
fer;12705
o_h;12693
nor;12678
ria;12658
sm;12655
n_d;12639
il_;12636
ond;12615
mes;12613
vel;12546
ual;12545
rch;12525
iz;12501
eir;12497
now;12494
lli;12489
ert;12482
_af;12481
nto;12480
a_f;12443
hea;12441
cho;12433
rge;12430
hil;12417
gin;12412
f_s;12320
mpl;12315
rma;12252
_jo;12245
t_m;12237
_ev;12165
uld;12160
ka;12141
nl;12127
tle;12120
ses;12073
ili;12030
y_f;12013
ens;12006
l_o;11993
ps;11988
ron;11954
ied;11917
sse;11917
old;11904
vin;11896
ze;11863
fin;11863
_ci;11846
clu;11830
ign;11774
_am;11734
esi;11721
llo;11716
cte;11700
d_e;11693
bli;11672
gs;11654
ue_;11652
nis;11651
ien;11640
nk;11619
oli;11608
eca;11600
ile;11589
tem;11588
usi;11585
pen;11567
nf;11549
m_a;11541
nam;11495
ret;11478
him;11475
ho_;11447
d_l;11432
edi;11431
ana;11429
oin;11405
sch;11392
ms_;11380
â€;11296
am_;11285
rk_;11278
nsi;11277
up_;11231
_el;11222
hed;11194
lec;11183
eb;11174
y_h;11155
hes;11153
g_o;11139
rep;11099
ced;11098
_ot;11097
kn;11095
off;11069
y_p;11056
_ve;11053
dd;11019
ik;11010
a_a;11003
pan;10975
f_h;10959
_dr;10958
tai;10947
erm;10928
id_;10925
rad;10925
dur;10917
fou;10902
d_n;10884
amp;10883
t_r;10873
a_r;10868
abo;10864
_ou;10859
ult;10853
sy;10840
_tw;10835
lac;10832
eng;10829
g_i;10792
_op;10787
o_p;10772
air;10771
ely;10765
pea;10701
mos;10697
ici;10677
uth;10648
_ki;10646
n_l;10642
sea;10626
t_d;10583
_ju;10550
h_c;10542
ale;10523
urn;10516
je;10495
bou;10483
f_c;10439
bee;10433
las;10421
alt;10417
dit;10404
tly;10386
aus;10371
a_b;10362
sou;10355
h_s;10350
two;10343
eli;10305
_cu;10301
_au;10273
ivi;10270
cto;10258
l_i;10250
rre;10199
ook;10167
suc;10152
rai;10099
lie;10099
ote;10095
eac;10094
bri;10088
y_m;10080
im_;10069
sel;10066
_yo;10062
som;10040
lia;9999
ppe;9981
tel;9975
ks_;9961
eal;9951
sec;9946
rem;9937
nds;9934
y_d;9931
_ru;9927
y_r;9910
ece;9908
uch;9908
que;9904
nv;9865
ves;9852
hoo;9837
cit;9837
_up;9831
_va;9828
hey;9828
ery;9816
isi;9781
olo;9779
rri;9773
arg;9769
r_r;9722
_ja;9710
a_w;9698
mal;9672
ffe;9649
h_i;9643
e_v;9634
s_u;9633
l_p;9631
oy;9628
loc;9624
h_h;9607
_im;9604
sk;9596
o_w;9588
ban;9583
a_l;9582
arc;9564
h_o;9559
cla;9548
dy;9538
tea;9524
rsi;9500
_ov;9497
rde;9484
o_r;9475
til;9453
adi;9443
ann;9432
_bi;9431
lf;9425
ete;9423
wev;9410
r_d;9371
way;9363
s_g;9361
tit;9356
gan;9353
ngs;9348
r_e;9347
acc;9345
u_;9318
ise;9302
a_d;9293
ncl;9279
xp;9275
lm;9273
ail;9262
_fl;9248
eu;9242
iss;9234
ubl;9222
pol;9216
ur_;9216
tie;9210
pec;9201
exp;9180
bor;9164
dia;9159
hor;9156
gro;9151
rio;9115
ark;9102
bro;9099
aga;9080
nne;9072
met;9068
rop;9067
g_s;9060
t_l;9036
ol_;9027
o_i;9013
die;8997
ict;8996
eci;8991
ool;8962
o_m;8956
nic;8954
vis;8940
n_n;8919
_fu;8913
o_d;8911
udi;8900
x_;8891
nly;8878
_q;8871
uct;8870
ngl;8863
ory;8859
rte;8854
sig;8853
ami;8826
wil;8817
kno;8809
mus;8776
ges;8773
ute;8758
hem;8757
orn;8746
od_;8735
oca;8718
rp;8709
cas;8700
ya;8698
tru;8693
rne;8687
rod;8668
atu;8666
imp;8636
lud;8635
rig;8621
los;8613
hol;8612
hip;8605
emp;8588
ws;8571
_kn;8569
ora;8498
dec;8489
ors;8487
eti;8480
bel;8470
sic;8453
ood;8443
my;8439
cul;8426
tc;8422
stu;8416
hel;8376
f_m;8365
riv;8355
hos;8354
rce;8349
ude;8336
bas;8331
bs;8308
evi;8282
reg;8281
omi;8281
mpa;8274
sur;8266
_pi;8260
leg;8259
t_e;8240
ein;8237
g_w;8237
aye;8232
ovi;8232
_qu;8231
onl;8202
wo_;8192
mai;8189
sco;8185
wr;8181
a_n;8161
cur;8157
gs_;8136
g_h;8134
ode;8130
rb;8121
ffi;8107
em_;8105
rov;8098
tis;8084
mis;8080
r_l;8072
fre;8049
elo;8038
rme;8033
l_b;8006
xt;7994
tia;7969
rol;7954
oe;7938
f_p;7932
ima;7927
avi;7922
rly;7913
hig;7908
unc;7905
itt;7895
_hu;7889
gai;7887
hy;7882
hn;7877
ick;7873
ean;7865
ega;7856
eq;7830
rf;7830
l_w;7827
see;7820
arm;7818
vid;7818
wel;7814
ema;7805
pub;7795
equ;7771
hro;7769
vic;7765
rot;7758
odu;7750
d_g;7736
egi;7721
o_f;7710
y_l;7710
sis;7698
b_;7681
g_c;7660
ppo;7653
wee;7643
uti;7643
lla;7637
_bl;7629
mem;7624
eed;7616
h_w;7605
oss;7601
qui;7565
nci;7562
bet;7560
cle;7550
rna;7549
cri;7548
ett;7542
mov;7539
ild;7529
wou;7522
val;7517
let;7508
ock;7499
orl;7495
day;7487
fac;7484
esp;7483
ram;7482
ike;7478
n_g;7472
um_;7468
uar;7457
len;7444
_gi;7438
cie;7424
cer;7415
na_;7414
tud;7408
rev;7393
ler;7388
dea;7346
log;7313
iat;7299
xi;7274
l_f;7270
pul;7260
ela;7238
f_i;7235
efe;7233
ane;7221
lt_;7220
sup;7212
rve;7210
cce;7202
rds;7201
nda;7198
ham;7194
eld;7183
lif;7179
_ph;7163
err;7160
_es;7157
ole;7151
pop;7134
ifi;7121
you;7118
bra;7117
no_;7092
ful;7081
ize;7078
mic;7077
mad;7071
ntl;7042
cy;7038
fil;7035
g_f;7024
_gu;7014
eth;6990
ref;6988
_sy;6969
don;6963
oni;6963
ps_;6962
oh;6953
lv;6949
asi;6938
ano;6936
iou;6936
_wr;6929
ura;6928
ros;6913
ext;6902
a_h;6901
sts;6899
e_k;6895
tch;6891
may;6891
efo;6876
spo;6875
rld;6866
nch;6838
_em;6835
ept;6835
_nu;6832
l_r;6825
cau;6811
eam;6807
d_u;6802
rse;6798
mit;6792
bot;6737
ys_;6730
fol;6715
cs;6712
rdi;6710
hom;6703
mme;6689
cap;6687
ked;6670
fam;6667
niv;6658
bal;6649
l_m;6638
yi;6637
lig;6632
tow;6624
a_g;6622
ip_;6620
org;6593
nse;6586
rm_;6577
ntu;6573
urr;6563
nia;6559
del;6533
rvi;6528
spi;6515
pon;6512
hal;6511
bac;6510
emo;6502
rts;6497
sha;6485
vie;6483
ged;6477
ato;6472
lor;6464
amo;6456
qua;6456
za;6448
twe;6445
k_a;6427
sla;6420
dy_;6417
_ed;6414
ped;6409
etw;6393
oma;6385
umb;6383
awa;6360
ah;6356
ie_;6356
ok_;6352
ife;6351
y_e;6337
dl;6327
_vo;6323
l_h;6319
tab;6305
ko;6301
lb;6300
mou;6290
try;6285
vil;6279
gam;6277
o_e;6274
f_f;6273
liv;6263
ays;6239
l_d;6236
_ai;6227
tak;6223
dep;6220
sol;6215
osi;6211
lth;6190
row;6180
set;6177
e_j;6168
ttl;6158
dic;6156
bur;6154
dev;6154
ra_;6154
uil;6149
igi;6146
xa;6141
hre;6140
tua;6139
opu;6130
t_n;6121
wes;6112
fra;6097
nni;6072
add;6071
fie;6060
f_b;6055
m_i;6053
ues;6052
o_l;6050
o_o;6046
roc;6045
emi;6032
inf;6026
a_i;6025
az;6020
ily;6018
cke;6013
soc;6012
itu;6010
ier;5999
g_p;5984
net;5979
ogr;5975
_ke;5973
nm;5970
orc;5966
num;5963
n_j;5959
onc;5958
dg;5952
rke;5952
bar;5948
yin;5936
lik;5931
aro;5928
n_u;5913
_tu;5900
pit;5900
pat;5899
mpo;5894
sev;5883
san;5881
f_w;5879
my_;5869
oci;5864
m_o;5863
cro;5862
poi;5860
sub;5853
rta;5851
r_g;5842
ank;5838
yl;5836
urt;5836
dre;5818
roa;5798
ics;5795
ker;5790
ede;5789
yed;5773
aso;5764
ek;5758
bei;5754
mas;5749
ws_;5746
mun;5745
bil;5739
exa;5716
mot;5706
spa;5691
l_e;5683
ero;5675
too;5657
gy;5656
sw;5652
ctu;5652
isc;5651
eer;5633
bat;5626
ena;5617
if_;5606
imi;5604
t_g;5604
def;5602
dem;5596
sso;5579
ndo;5577
beg;5572
inn;5568
gar;5567
rus;5558
eet;5531
lf_;5517
eni;5510
k_t;5507
ala;5496
erf;5481
rib;5481
lev;5481
h_p;5476
alo;5474
get;5470
f_e;5460
tec;5453
ege;5442
sam;5440
lai;5440
fea;5431
_ni;5428
eig;5417
h_m;5410
owi;5405
mag;5401
uce;5401
bef;5400
rim;5398
iso;5397
gue;5397
ix;5393
aug;5393
pin;5382
rty;5379
uen;5366
g_b;5365
erg;5361
oup;5360
bui;5359
e_y;5348
ume;5348
rid;5346
op_;5341
ft_;5339
upp;5338
yst;5335
hit;5327
mak;5325
ila;5305
phi;5299
eta;5292
ea_;5291
inu;5261
dge;5254
fri;5251
gg;5249
inv;5235
_oc;5230
k_o;5229
vol;5227
cra;5225
ken;5222
elf;5210
ull;5202
ama;5188
ul_;5181
f_o;5180
urc;5167
dra;5158
dow;5155
var;5148
pas;5129
mod;5129
iff;5123
f_l;5123
lp;5117
