_	5915205
e	4686386
r	2716386
n	2196812
t	2083218
a	1826677
i	1820515
d	1778683
s	1760906
l	1583698
o	1408896
g	1236001
er	1119497
k	1031656
m	981875
e_	925645
r_	892603
de	822191
en	799388
f	728757
v	706944
t_	690255
b	607585
u	601029
er_	592085
n_	575221
_s	564228
p	532680
h	491565
re	487991
et	487749
_d	449308
en_	421824
_f	404738
_a	394173
ge	385531
an	378848
g_	376786
_e	365446
te	363982
å	360904
nd	353413
or	349608
_i	338987
_o	331830
_m	330588
st	321297
et_	320122
_de	310619
ti	308116
_h	306981
le	298028
ø	284903
in	283795
ed	282090
ne	277029
_t	274446
me	269258
li	268404
æ	264625
_b	263148
ar	262440
_k	261342
d_	260901
i_	259848
ve	255591
at	243480
_p	242326
il	239987
se	238747
ke	236547
_v	232240
og	226595
ig	221665
ng	221048
j	220923
s_	220488
sk	217687
fo	216857
el	212773
y	211670
l_	203384
de_	202421
der	201425
_i_	196539
for	191393
al	190027
om	182655
es	175633
ere	175076
å_	174351
_fo	173588
_og	172305
c	171623
og_	171222
be	168238
ri	167528
_n	158583
_l	154410
ha	152054
at_	150481
vi	148799
den	147417
ra	146706
_ti	145969
det	145380
nde	144894
_me	142494
is	141447
m_	141207
_at	137072
til	136873
re_	135771
ag	134496
ll	134142
la	132067
af	131598
ns	130583
il_	130217
_en	128901
ter	127679
ma	127375
ol	126692
_g	126681
ik	126095
ka	125413
bl	124559
ing	122678
_er	121787
un	121606
da	119940
_ha	119358
si	118422
ko	117883
em	115260
på	113443
or_	113224
and	112131
on	111707
_af	111415
ed_	110873
_på	110424
ar_	108019
ta	106052
_u	104080
ds	103726
rs	103347
_r	103015
på_	101941
ge_	101585
ger	101528
nge	101050
ke_	100506
ør	100287
ne_	99434
ni	98529
ret	98130
kk	97782
kke	96882
lle	95902
he	95842
ste	95669
ede	95518
_st	94452
rt	93737
e_s	93211
f_	93023
om_	92362
ld	92347
id	92239
tr	91742
rn	89416
nt	88657
lig	88621
to	88429
ce	87916
af_	86060
te_	85998
va	85586
so	85349
år	84429
ver	84145
ær	84012
med	83785
an_	83529
fr	83011
ud	82051
gen	81695
je	81144
_sk	81134
mm	80658
k_	80515
a_	80023
_vi	79767
r_s	79609
eg	79041
ige	78379
r_d	77848
sa	76320
end	75358
_si	75337
am	74845
iv	73257
ls	72865
bli	72613
_fr	72356
dt	72324
ind	72043
ru	71563
ro	71543
ler	71455
_ma	70973
rd	70690
mi	70501
_ko	70403
it	70065
di	69646
men	68958
tt	68174
gt	68003
t_s	67249
sen	67213
ern	67085
r_e	66888
rne	66657
rk	66453
e_f	65962
r_i	65851
pe	65805
ev	65667
le_	65512
op	65352
ig_	65123
ske	64868
es_	64152
ov	64088
mme	63842
ikk	62909
_j	62810
ej	62273
e_o	62045
e_i	61516
tte	61474
ad	60584
sp	60551
kr	60262
_be	59869
av	59720
_bl	59421
man	59203
dr	59060
ic	58881
t_f	58868
e_m	58731
_so	58611
ng_	58358
r_f	58081
gs	57823
har	57358
n_s	57132
ho	56881
r_a	56631
ie	56625
